CVU,NOMBRE,NIVEL
77900,"PROAL NAJERA, JOSE BERNARDO",Investigador(a) Nacional Nivel I
77918,"CASAS ESPINOLA, JOSE LUIS",Investigador(a) Nacional Nivel II
77922,"PAEZ HERNANDEZ, RICARDO TEODORO",Investigador(a) Nacional Nivel I
77927,"CRUZ RUEDA, ELISA",Investigador(a) Nacional Nivel II
77929,"RUBIO JIMENEZ, MIGUEL ANGEL",Investigador(a) Nacional Nivel I
77943,"REYNAGA ORNELAS, LUXANA",Candidato(a) a Investigador(a) Nacional
77947,"SOSA RIVADENEYRA, MARTHA VIRGINIA",Investigador(a) Nacional Nivel I
77948,"MEZA LEON, ROSA LUISA",Investigador(a) Nacional Nivel I
77957,"VARGAS RODRIGUEZ, HECTOR",Investigador(a) Nacional Nivel I
77975,"MARTINEZ IBARRA, JORGE ARTURO",Candidato(a) a Investigador(a) Nacional
77980,"MARTINEZ CANALES, LUIS ALEJANDRO",Investigador(a) Nacional Nivel I
78004,"PEÑA MORENO, RICARDO DARIO",Investigador(a) Nacional Nivel I
78025,"DIAZ CERVANTES, RUFINO",Investigador(a) Nacional Nivel I
78029,"PEREZ SANCHEZ, ALFONSO",Investigador(a) Nacional Nivel I
78039,"TADEO ROBLEDO, MARGARITA",Investigador(a) Nacional Nivel I
78050,"GONZALEZ RAZO, FELIPE DE JESUS",Investigador(a) Nacional Nivel I
78051,"SERVIN JUAREZ, ROSELIA",Investigador(a) Nacional Nivel I
78071,"VELASCO BAUTISTA, EFRAIN",Candidato(a) a Investigador(a) Nacional
78080,"DEVEZE MURILLO, PATRICIA",Candidato(a) a Investigador(a) Nacional
78124,"FONSECA LOPEZ, MIRIAM",Investigador(a) Nacional Nivel I
78145,"LE CLERCQ ORTEGA, JUAN ANTONIO",Investigador(a) Nacional Nivel I
78149,"OLIVO PEREZ, MIGUEL ANGEL",Investigador(a) Nacional Nivel II
78199,"RUIZ GUERRERO, MARIA DEL ROSARIO",Investigador(a) Nacional Nivel I
78211,"JIMENEZ SANCHEZ, PEDRO LEOBARDO",Investigador(a) Nacional Nivel I
78269,"ROMERO MAYO, RAFAEL IGNACIO",Investigador(a) Nacional Nivel I
78358,"ARRIETA BAEZ, DANIEL",Investigador(a) Nacional Nivel II
78372,"MARTINEZ SALAZAR, MARIA FERNANDA",Investigador(a) Nacional Nivel I
78463,"VALENZUELA TIJERINO, JOSE OCTAVIO",Investigador(a) Nacional Nivel II
78466,"MILLAN MONCAYO, MARGARITA",Investigador(a) Nacional Nivel II
78483,"ANDRADE DEL CID, CARMEN DOLORES PATRICIA",Investigador(a) Nacional Nivel I
78515,"HERRERA RUIZ, MARIBEL LUCILA",Investigador(a) Nacional Nivel II
78518,"GUZMAN LOPEZ, ORLANDO",Investigador(a) Nacional Nivel II
78563,"GUILLEN GALVAN, CARLOS",Investigador(a) Nacional Nivel I
78631,"FAJARDO MUÑOZ, RAUL CUAUHTEMOC",Candidato(a) a Investigador(a) Nacional
78668,"POBLANO VERASTEGUI, OFELIA",Investigador(a) Nacional Nivel I
78673,"VILLANUEVA SANCHEZ, JAVIER",Investigador(a) Nacional Nivel I
78709,"VILA FREYER, ANA BEATRIZ",Investigador(a) Nacional Nivel I
78778,"BRINGAS NOSTTI, RAUL",Investigador(a) Nacional Nivel I
78842,"SIMAN DRUKER, YAEL SANDRA",Candidato(a) a Investigador(a) Nacional
78855,"CONTRERAS MARTINEZ, SARAHY",Investigador(a) Nacional Nivel I
78880,"CERVINI SILVA, JAVIERA",Investigador(a) Nacional Nivel III
78924,"LOPEZ AYMES, GABRIELA",Investigador(a) Nacional Nivel I
78976,"VALVERDE GARDUÑO, BERTHA VERONICA",Investigador(a) Nacional Nivel I
78993,"CONTRERAS HERNANDEZ, HECTOR ARMANDO",Investigador(a) Nacional Nivel I
79022,"MARTINEZ VALLE, ADOLFO",Investigador(a) Nacional Nivel I
79128,"RAMIREZ FELIX, EVLIN AIDEE",Candidato(a) a Investigador(a) Nacional
79180,"LOPEZ ORTEGA, MARIANA",Investigador(a) Nacional Nivel I
79187,"CARBAJAL LOPEZ, DAVID",Investigador(a) Nacional Nivel I
79190,"MENDOZA ARROYO, JUAN MANUEL",Candidato(a) a Investigador(a) Nacional
79194,"DIAZ GOMEZ, LETICIA",Investigador(a) Nacional Nivel I
79200,"RODRIGUEZ CASTILLO, LUIS",Investigador(a) Nacional Nivel I
79214,"GUZMAN DE LA GARZA, FRANCISCO JAVIER",Investigador(a) Nacional Nivel I
79216,"SIFUENTES RINCON, ANA MARIA",Investigador(a) Nacional Nivel II
79220,"BOJORQUEZ LUQUE, JESUS",Candidato(a) a Investigador(a) Nacional
79234,"MENDEZ TENORIO, ALFONSO",Investigador(a) Nacional Nivel II
79242,"GRANADOS COSME, JOSE ARTURO",Investigador(a) Nacional Nivel II
79252,"VAZQUEZ GUTIERREZ, JUAN PABLO",Investigador(a) Nacional Nivel I
79266,"DE LA GARZA RAMOS, MYRIAM ANGELICA",Investigador(a) Nacional Nivel II
79267,"ALVAREZ OJEDA, MARIA GENOVEVA",Investigador(a) Nacional Nivel I
79287,"DIAZ ROSAS, GUADALUPE",Candidato(a) a Investigador(a) Nacional
79327,"RAMIREZ VELAZQUEZ, JOSEFINA AMPARO",Investigador(a) Nacional Nivel II
79364,"SANCHEZ RAMIREZ, GEORGINA",Investigador(a) Nacional Nivel I
79377,"MAY ARRIOJA, DANIEL ALBERTO",Investigador(a) Nacional Nivel III
79380,"ESPADAS MANRIQUE, CELENE MARISOL",Investigador(a) Nacional Nivel I
79384,"MARTINEZ MORENO, DAVID",Investigador(a) Nacional Nivel I
79388,"PEREZ SOTO, FRANCISCO",Investigador(a) Nacional Nivel I
79393,"HERNANDEZ MORALES, JAVIER",Investigador(a) Nacional Nivel I
79399,"VARGAS SIMON, GEORGINA",Candidato(a) a Investigador(a) Nacional
79403,"ORNELAS CONTRERAS, MARTHA",Investigador(a) Nacional Nivel II
79407,"GASTELUM CUADRAS, GABRIEL",Investigador(a) Nacional Nivel I
79409,"RAMOS JIMENEZ, ARNULFO",Investigador(a) Nacional Nivel II
79425,"FLORES ESTRADA, JOSE JAVIER",Investigador(a) Nacional Nivel I
79433,"AMEZAGA MADRID, PATRICIA",Investigador(a) Nacional Nivel II
79434,"MANJARREZ SILVA, FRANCISCO JAVIER",Investigador(a) Nacional Nivel I
79437,"PEREZ STAPLES, DIANA FOLGER",Investigador(a) Nacional Nivel II
79442,"MARTINEZ HERNANDEZ, ANGELICA GRACIELA",Investigador(a) Nacional Nivel II
79463,"REVELES TORRES, LUIS ROBERTO",Investigador(a) Nacional Nivel I
79471,"HEREDIA PINEDA, FELICIANO JAVIER",Candidato(a) a Investigador(a) Nacional
79472,"MENDEZ GONZALEZ, JORGE",Investigador(a) Nacional Nivel I
79494,"GUTIERREZ RUACHO, OSCAR GERARDO",Investigador(a) Nacional Nivel I
79520,"MARES ALEJANDRE, ROSA ELENA",Investigador(a) Nacional Nivel I
79543,"VARGAS PONCE, OFELIA",Investigador(a) Nacional Nivel I
79547,"SOLORZANO LUJANO, SOFIA",Investigador(a) Nacional Nivel I
79549,"PEREZ GONZALEZ, RAUL",Investigador(a) Nacional Nivel I
79559,"MONROY PEREZ, ERIC",Investigador(a) Nacional Nivel I
79610,"MONTIEL RAMOS, TERESITA DE JESUS",Investigador(a) Nacional Nivel I
79621,"PORTILLO SANCHEZ, MARICELA",Investigador(a) Nacional Nivel II
79641,"LUNA LEON, ANIBAL",Investigador(a) Nacional Nivel I
79645,"BOJORQUEZ MORALES, GONZALO",Investigador(a) Nacional Nivel I
79654,"RANGEL SILVA, JOSE ALFREDO",Investigador(a) Nacional Nivel I
79693,"BALLEZA MEJIA, DANIEL",Investigador(a) Nacional Nivel I
79712,"VASQUEZ MOCTEZUMA, ISMAEL",Investigador(a) Nacional Nivel I
79714,"CEPEDA NIETO, ANA CECILIA",Investigador(a) Nacional Nivel I
79746,"FIGUERAS ZANABRIA, VICTOR MANUEL",Investigador(a) Nacional Nivel I
79752,"AMAYA VENTURA, MARIA DE LOURDES",Investigador(a) Nacional Nivel I
79760,"RIVAS LOPEZ, VICTOR GERARDO",Investigador(a) Nacional Nivel II
79782,"MIRANDA MUÑOZ, MARTHA",Investigador(a) Nacional Nivel I
79814,"HERNANDEZ ROMERO, YASMIN",Investigador(a) Nacional Nivel I
79830,"BERNAL JAQUEZ, ROBERTO",Investigador(a) Nacional Nivel I
79848,"HIGUERA BONFIL, ANTONIO",Investigador(a) Nacional Nivel I
79851,"CRUZ ISLAS, IGNACIO CESAR",Investigador(a) Nacional Nivel I
79858,"SERRANO AVILES, TOMAS",Investigador(a) Nacional Nivel I
79870,"CASAS MARTINEZ, MAURICIO",Investigador(a) Nacional Nivel I
79902,"ESPEJEL MENA, JAIME",Investigador(a) Nacional Nivel I
79915,"GALINDO LARA, CLAUDIA EUGENIA",Investigador(a) Nacional Nivel I
79964,"SANTAMARIA MIRANDA, APOLINAR",Investigador(a) Nacional Nivel I
79966,"FLORES OLIVAS, ALBERTO",Investigador(a) Nacional Nivel I
79986,"SALAZAR SILVA, PATRICIA",Investigador(a) Nacional Nivel I
80021,"ZEPEDA RIVERA, BEATRIZ",Investigador(a) Nacional Nivel I
80029,"DE ALBA GONZALEZ, MARTHA LILIA",Investigador(a) Nacional Nivel I
80056,"LOMELI VANEGAS, LEONARDO",Investigador(a) Nacional Nivel II
80078,"LOPEZ MESTAS CAMBEROS, MARTHA LORENZA",Investigador(a) Nacional Nivel I
80085,"MENESES MAYO, MARCOS",Investigador(a) Nacional Nivel I
80089,"DOMINGUEZ SOBERANES, JULIETA",Investigador(a) Nacional Nivel I
80092,"TERREROS MECALCO, JESUS",Candidato(a) a Investigador(a) Nacional
80153,"HERNANDEZ DE LA ROSA, PATRICIA",Investigador(a) Nacional Nivel I
80155,"GONZALEZ GUILLEN, MANUEL DE JESUS",Investigador(a) Nacional Nivel I
80171,"SANTANA CARDENAS, SORAYA",Candidato(a) a Investigador(a) Nacional
80176,"ARCE FONSECA, MINERVA",Investigador(a) Nacional Nivel I
80183,"VARGAS HERNANDEZ, GENARO",Candidato(a) a Investigador(a) Nacional
80186,"ESTEVEZ DELGADO, GABINO",Investigador(a) Nacional Nivel I
80192,"JARDON ARCOS, DANIEL ROBERTO",Investigador(a) Nacional Nivel I
80244,"MORENO VAZQUEZ, JOSE LUIS",Investigador(a) Nacional Nivel I
80252,"IBARRA LOPEZ, ARMANDO MARTIN",Investigador(a) Nacional Nivel I
80257,"GARCIA PEREZ, JOSE ANTONIO",Investigador(a) Nacional Nivel I
80269,"CORDOVA ALARCON, EMILIO JOAQUIN",Investigador(a) Nacional Nivel II
80270,"GOMEZ VERDUZCO, GABRIELA GUADALUPE",Investigador(a) Nacional Nivel I
80286,"VAZQUEZ FLORES, JOSE ANDRES",Candidato(a) a Investigador(a) Nacional
80290,"CASTILLO ZACATELCO, HILDA",Investigador(a) Nacional Nivel I
80291,"BELLO LOPEZ, PEDRO",Investigador(a) Nacional Nivel I
80293,"BELTRAN MARTINEZ, BEATRIZ",Investigador(a) Nacional Nivel I
80296,"LOPEZ RAMIREZ, CRISTINA",Candidato(a) a Investigador(a) Nacional
80316,"MONTES ROJAS, ANTONIO",Investigador(a) Nacional Nivel I
80336,"MUÑOZ ABUNDEZ, GUSTAVO",Candidato(a) a Investigador(a) Nacional
80400,"REYES DE LA CRUZ, VIRGINIA GUADALUPE",Investigador(a) Nacional Nivel II
80471,"RAMIREZ LOPEZ, ROMAN",Investigador(a) Nacional Nivel I
80474,"BARRERA DOMINGUEZ, MARIA CONCEPCION",Investigador(a) Nacional Nivel I
80479,"RAYO MAYORAL, PATRICIA",Investigador(a) Nacional Nivel I
80482,"OSUNA GALAN, ISMAEL",Candidato(a) a Investigador(a) Nacional
80515,"MENDEZ ESPINOZA, JOSE ARTURO",Investigador(a) Nacional Nivel I
80539,"MEDINA SANSON, MEXITZIN LEOPOLDO",Investigador(a) Nacional Nivel I
80556,"ESTRADA VENEGAS, EDITH GUADALUPE",Candidato(a) a Investigador(a) Nacional
80562,"RAMOS PARRA, MIGUEL",Candidato(a) a Investigador(a) Nacional
80576,"RUIZ JUAREZ, DANIEL",Candidato(a) a Investigador(a) Nacional
80577,"MADARIAGA NAVARRETE, ALFREDO",Investigador(a) Nacional Nivel I
80581,"CRUZ HERNANDEZ, JAVIER",Investigador(a) Nacional Nivel I
80634,"RAMOS MUÑOZ, DORA ELIA",Investigador(a) Nacional Nivel I
80663,"RIVERA DE LA ROSA, JAVIER",Investigador(a) Nacional Nivel II
80693,"DE LA LUZ LANZAGORTA, MARIA DEL CARMEN",Investigador(a) Nacional Nivel I
80701,"HERNANDEZ ESCOTO, HECTOR",Investigador(a) Nacional Nivel II
80711,"OLIVARES RAMIREZ, JUAN MANUEL",Investigador(a) Nacional Nivel I
80712,"MEDINA FLORES, ARIOSTO",Investigador(a) Nacional Nivel I
80743,"NUÑEZ ESPINOZA, JUAN FELIPE",Investigador(a) Nacional Nivel I
80749,"SANCHEZ PAZ, LAURA ALEJANDRA",Candidato(a) a Investigador(a) Nacional
80836,"HERNANDEZ CAMACHO, CLAUDIA JANETL",Investigador(a) Nacional Nivel I
80843,"MENDEZ SANCHEZ, JOSE FERNANDO",Investigador(a) Nacional Nivel I
80847,"ARELLANO GALINDO, JOSE",Investigador(a) Nacional Nivel II
80851,"SALINAS LARA, CITLALTEPETL",Investigador(a) Nacional Nivel I
80889,"SAHAGUN SANCHEZ, FRANCISCO JAVIER",Investigador(a) Nacional Nivel I
80892,"TOLEDO ROJAS, ANDREA ALEJANDRA",Investigador(a) Nacional Nivel I
80901,"SUZAN AZPIRI, GERARDO",Investigador(a) Nacional Nivel II
80906,"GARCIA CALVILLO, IRMA DELIA",Investigador(a) Nacional Nivel I
80925,"LEON CAZARES, FILADELFO",Investigador(a) Nacional Nivel I
80928,"ORTIZ MEDINA, ANA EDUWIGES DEL ROSARIO",Candidato(a) a Investigador(a) Nacional
80946,"VAZQUEZ LOPEZ, RAUL",Investigador(a) Nacional Nivel I
80959,"RAMIREZ GONZALEZ, MIGUEL",Investigador(a) Nacional Nivel I
80985,"TORRES CEJA, CARLOS DE JESUS",Investigador(a) Nacional Nivel I
81040,"NUÑEZ LARA, ENRIQUE",Investigador(a) Nacional Nivel I
81046,"GUZMAN HUERTA, MARIO ESTANISLAO",Investigador(a) Nacional Nivel I
81053,"HERNANDEZ LOPEZ, ADRIANA",Candidato(a) a Investigador(a) Nacional
81075,"CORTEZ LUGO, MARLENE",Investigador(a) Nacional Nivel II
81100,"JARDON VALADEZ, HECTOR EDUARDO",Investigador(a) Nacional Nivel I
81159,"LOPEZ GRANADOS, ERNA MARTHA",Investigador(a) Nacional Nivel I
81164,"MENDEZ BAHENA, ALFREDO",Investigador(a) Nacional Nivel II
81165,"SUAZO ORTUÑO, IRERI",Investigador(a) Nacional Nivel I
81182,"MENDOZA RESENDEZ, RAQUEL",Investigador(a) Nacional Nivel II
81248,"SANTA ANA LOZADA, LUCIA GABRIELA",Candidato(a) a Investigador(a) Nacional
81257,"ZEMPOALTECA RAMIREZ, RENE",Investigador(a) Nacional Nivel I
81262,"ROVIROSA HERNANDEZ, MARIA DE JESUS",Investigador(a) Nacional Nivel I
81272,"DOMINGUEZ MENDOZA, BLANCA EDA",Investigador(a) Nacional Nivel I
81275,"ROMAN BRAVO, PERLA PATRICIA",Investigador(a) Nacional Nivel I
81293,"NAPSUCIALY MENDIVIL, SELENE",Investigador(a) Nacional Nivel I
81324,"GARCIA RUIZ, PEDRO ENRIQUE",Investigador(a) Nacional Nivel II
81326,"CEDILLO DELGADO, RAFAEL",Investigador(a) Nacional Nivel I
81331,"RIVERA CALVO, MARIA ELDA",Candidato(a) a Investigador(a) Nacional
81333,"SANCHEZ PARRA, SERGIO ARTURO",Investigador(a) Nacional Nivel II
81342,"SANDOVAL BOJORQUEZ, MARTIN",Candidato(a) a Investigador(a) Nacional
81399,"OCHOA TINOCO, CUAUHTEMOC",Candidato(a) a Investigador(a) Nacional
81400,"ISUNZA VIZUET, GEORGINA",Investigador(a) Nacional Nivel I
81406,"LEON BALDERRAMA, JORGE INES",Investigador(a) Nacional Nivel I
81411,"VELARDE FELIX, JESUS SALVADOR",Investigador(a) Nacional Nivel II
81413,"DELGADO RIZO, VIDAL",Investigador(a) Nacional Nivel II
81414,"RUIZ MADRIGAL, BERTHA",Investigador(a) Nacional Nivel I
81442,"FERNANDEZ OSORIO, ANA LETICIA",Investigador(a) Nacional Nivel II
81461,"LEYVA LOPEZ, AHIDEE GUADALUPE",Investigador(a) Nacional Nivel I
81498,"ESCOBEDO BONILLA, CESAR MARCIAL",Investigador(a) Nacional Nivel I
81582,"SOSA LOPEZ, ATAHUALPA",Investigador(a) Nacional Nivel I
81586,"APPENDINI ALBRECHTSEN, CHRISTIAN MARIO",Investigador(a) Nacional Nivel II
81596,"RUIZ MARTINEZ, ALFREDO",Investigador(a) Nacional Nivel I
81633,"ALVAREZ GONZALEZ DE CASTILLA, CLARA LUZ",Investigador(a) Nacional Nivel III
81645,"MARQUEZ HERRERA, ALFREDO",Investigador(a) Nacional Nivel I
81712,"GALINDO MARINES, ALEJANDRA",Investigador(a) Nacional Nivel I
81832,"NAJERA GONZALEZ, XAVIER",Candidato(a) a Investigador(a) Nacional
81894,"GARDUÑO ANGELES, EDGAR",Investigador(a) Nacional Nivel II
81899,"PEREZ ORIVE, JAVIER",Candidato(a) a Investigador(a) Nacional
81906,"DE LA GARZA CHAVEZ, MA. LUISA",Investigador(a) Nacional Nivel II
81939,"CAPISTRAN OCAMPO, MARCOS AURELIO",Investigador(a) Nacional Nivel II
81940,"SOTO MONTES DE OCA, GLORIA",Investigador(a) Nacional Nivel I
81949,"BARBA PINGARRON, ARTURO",Investigador(a) Nacional Nivel I
81955,"MOLINO MINERO RE, ERIK",Investigador(a) Nacional Nivel I
81975,"HERRERA RENDON, MARIA TERESA",Investigador(a) Nacional Nivel I
82043,"ONTIVEROS ALONSO, MIGUEL",Investigador(a) Nacional Nivel I
82102,"MORALES ALMORA, PORFIRIO",Candidato(a) a Investigador(a) Nacional
82118,"ARAIZA HERNANDEZ, ELIZABETH",Investigador(a) Nacional Nivel I
82128,"ZURITA SANCHEZ, JORGE ROBERTO",Investigador(a) Nacional Nivel I
82138,"ARGUELLES ARREDONDO, CARLOS GABRIEL",Candidato(a) a Investigador(a) Nacional
82142,"DE LA TORRE RODRIGUEZ, JOSE FEDERICO",Investigador(a) Nacional Nivel I
82144,"BAUTISTA ORTEGA, JAIME",Investigador(a) Nacional Nivel I
82162,"MARTINEZ GARZA, FRANCISCO JAVIER",Investigador(a) Nacional Nivel I
82166,"BECERRIL TORRES, OSVALDO URBANO",Investigador(a) Nacional Nivel I
82190,"YASCHINE ARROYO, ILIANA",Investigador(a) Nacional Nivel I
82191,"ESPINOSA CUEVAS, MARIA DE LOS ANGELES",Investigador(a) Nacional Nivel I
82235,"PORRAS SANCHEZ, FRANCISCO JAVIER",Investigador(a) Nacional Nivel I
82259,"CISNEROS VILLALOBOS, LUIS",Investigador(a) Nacional Nivel I
82288,"ARGANIS JUAREZ, MARITZA LILIANA",Investigador(a) Nacional Nivel I
82318,"RAMIREZ MENDOZA, ABIGAIL MARIA ELENA",Candidato(a) a Investigador(a) Nacional
82338,"BARONA GOMEZ, FRANCISCO",Investigador(a) Nacional Nivel III
82388,"CARRILES JAIMES, RAMON",Investigador(a) Nacional Nivel II
82438,"BAEZ CUBERO, MARIA DE LOURDES",Investigador(a) Nacional Nivel I
82463,"GONZALEZ CARDENAS, JULIO CESAR",Candidato(a) a Investigador(a) Nacional
82475,"CERVANTES ZEPEDA, MAURICIO",Investigador(a) Nacional Nivel I
82497,"VALENZUELA QUIÑONEZ, WENCESLAO",Investigador(a) Nacional Nivel I
82532,"NAVA OLIVARES, RICARDO",Candidato(a) a Investigador(a) Nacional
82534,"CAZARIN MARTINEZ, ANGELICA",Investigador(a) Nacional Nivel I
82542,"FOSADO MARTINEZ, DULCE OLIVIA",Investigador(a) Nacional Nivel I
82574,"CALDERON GUERRERO, GABRIELA",Investigador(a) Nacional Nivel I
82589,"ORTEGA OLIVARES, MARIO",Investigador(a) Nacional Nivel I
82621,"ARVIZU MEDRANO, SOFIA MARIA",Investigador(a) Nacional Nivel I
82641,"PRADO REBOLLEDO, OMAR FRANCISCO",Investigador(a) Nacional Nivel I
82645,"MUJICA MOTA, MIGUEL ANTONIO",Investigador(a) Nacional Nivel I
82666,"SALGADO ESTRADA, ROLANDO",Investigador(a) Nacional Nivel I
82695,"BRAVO PEÑA, LUIS CARLOS",Investigador(a) Nacional Nivel I
82701,"GARCIA BERUMEN, ARMANDO",Candidato(a) a Investigador(a) Nacional
82727,"MARTINEZ COLUNGA, JUAN GUILLERMO",Investigador(a) Nacional Nivel I
82741,"TURRENT THOMPSON, CUAUHTEMOC",Investigador(a) Nacional Nivel I
82751,"ESCALONA ALCAZAR, FELIPE DE JESUS",Investigador(a) Nacional Nivel I
82752,"NAVARRO HERNANDEZ, RENE FRANCISCO",Candidato(a) a Investigador(a) Nacional
82797,"HERNANDEZ MALDONADO, ALBERTO",Investigador(a) Nacional Nivel I
82843,"OLVERA HERNANDEZ, JOSE ISABEL",Investigador(a) Nacional Nivel I
82844,"PASTELIN SOLANO, MIRIAM CRISTINA",Investigador(a) Nacional Nivel I
82846,"CAMARENA GOMEZ, BEATRIZ OLIVIA",Investigador(a) Nacional Nivel I
82878,"CORTES DIAZ, ENRIQUE",Candidato(a) a Investigador(a) Nacional
82897,"HERNANDEZ BALBUENA, DANIEL",Investigador(a) Nacional Nivel I
82906,"GUEVARA FRANCO, JOSE ALFREDO",Candidato(a) a Investigador(a) Nacional
82912,"SANCHEZ LOPEZ, JUAN DE DIOS",Investigador(a) Nacional Nivel I
82929,"RODRIGUEZ QUIROZ, GERARDO",Investigador(a) Nacional Nivel I
82935,"GRANADOS ALCANTAR, JOSE AURELIO",Investigador(a) Nacional Nivel I
82938,"GONZALEZ FAGOAGA, JESUS EDUARDO",Investigador(a) Nacional Nivel I
82945,"VILLERIAS SALINAS, SALVADOR",Investigador(a) Nacional Nivel I
82948,"PEREZ RUIZ, LUIS CARLOS",Candidato(a) a Investigador(a) Nacional
82991,"GIJON HERNANDEZ, ADRIANA ROSALIA",Investigador(a) Nacional Nivel I
82993,"MARTINEZ BOLAÑOS, LUCIANO",Investigador(a) Nacional Nivel I
83012,"GONZALEZ NAVARRO, FELIX FERNANDO",Investigador(a) Nacional Nivel I
83037,"ZAPATA GARIBAY, ROGELIO",Investigador(a) Nacional Nivel I
83055,"HERNANDEZ TELLEZ, MARIA GUADALUPE SILVIA",Investigador(a) Nacional Nivel I
83057,"GARCIA JIMENEZ, HUMBERTO",Investigador(a) Nacional Nivel I
83059,"ROBLES AGUILA, MARIA JOSEFINA",Investigador(a) Nacional Nivel I
83061,"HERRERA GONZALEZ, ANA MARIA",Investigador(a) Nacional Nivel II
83063,"AGUILAR NERY, JESUS",Investigador(a) Nacional Nivel I
83065,"ROMERO LOPEZ, ROBERTO",Investigador(a) Nacional Nivel I
83087,"CANUL REICH, JUANA",Investigador(a) Nacional Nivel I
83103,"VALDERRAMA BRAVO, MARIA DEL CARMEN",Investigador(a) Nacional Nivel I
83113,"RODRIGUEZ NAVA, ABIGAIL",Investigador(a) Nacional Nivel II
83152,"MARQUEZ MURRIETA, ALICIA",Investigador(a) Nacional Nivel II
83163,"REA RODRIGUEZ, CARLOS RAFAEL",Investigador(a) Nacional Nivel II
83166,"CHAOUL PEREYRA, MARIA EUGENIA",Investigador(a) Nacional Nivel I
83167,"CRUZ ORTIZ, MARIBEL",Investigador(a) Nacional Nivel I
83178,"OJEDA TREJO, ENRIQUE",Investigador(a) Nacional Nivel I
83185,"BURCIAGA CAMPOS, JOSE ARTURO",Investigador(a) Nacional Nivel II
83188,"COBOS MARIN, LAURA",Investigador(a) Nacional Nivel I
83213,"HERNANDEZ CRUZ, DANIEL",Investigador(a) Nacional Nivel I
83217,"HERNANDEZ HERNANDEZ, ELISEO",Investigador(a) Nacional Nivel I
83235,"LEOS ESCOBEDO, LUCIO",Candidato(a) a Investigador(a) Nacional
83262,"REBOLLEDO HERRERA, LUCIO FIDEL",Candidato(a) a Investigador(a) Nacional
83291,"CRUZ SOTO, MARTHA ELENA",Investigador(a) Nacional Nivel I
83298,"NOREÑA BARROSO, ELSA",Investigador(a) Nacional Nivel I
83315,"SOLARES PINEDA, DIANA VIOLETA",Investigador(a) Nacional Nivel I
83344,"LONGORIA GANDARA, OMAR HUMBERTO",Investigador(a) Nacional Nivel I
83358,"CRUZ TAMAYO, ALVAR ALONZO",Investigador(a) Nacional Nivel I
83381,"ALEJANDRE RAMIREZ, GLORIA LUZ",Investigador(a) Nacional Nivel I
83394,"PEREZ SANCHEZ, BEATRIZ",Investigador(a) Nacional Nivel I
83435,"VARGAS Y VARGAS, MARIA DE LOURDES",Candidato(a) a Investigador(a) Nacional
83478,"VILLANUEVA COUOH, EDUARDO",Candidato(a) a Investigador(a) Nacional
83503,"NAJERA AGUILAR, HUGO ALEJANDRO",Investigador(a) Nacional Nivel I
83531,"ROMERO VALDOVINOS, MIRZA GABRIELA",Investigador(a) Nacional Nivel I
83535,"SALCEDO MEZA, MIGUEL ANGEL",Investigador(a) Nacional Nivel I
83539,"MENDOZA CUENCA, LUIS FELIPE",Investigador(a) Nacional Nivel I
83568,"REYNOSO ALCANTARA, CLAUDIA ESTELA",Investigador(a) Nacional Nivel I
83588,"ALVARADO MONROY, ANGELINA",Investigador(a) Nacional Nivel I
83595,"GUTIERREZ FLORES, LUIS",Investigador(a) Nacional Nivel I
83598,"AMPUDIA RUEDA, MARIA DE LOURDES",Candidato(a) a Investigador(a) Nacional
83601,"LIMAS HERNANDEZ, MYRNA",Investigador(a) Nacional Nivel I
83610,"CAIRE JUVERA, GRACIELA",Investigador(a) Nacional Nivel I
83639,"CASTAÑEDA SAUCEDO, EDUARDO",Investigador(a) Nacional Nivel I
83640,"ITZA ORTIZ, MATEO FABIAN",Investigador(a) Nacional Nivel I
83643,"MORENO BRITO, VERONICA",Investigador(a) Nacional Nivel I
83646,"QUIROZ PEREZ, NORMA ELIZABETH",Candidato(a) a Investigador(a) Nacional
83658,"ARELLANO PLAZA, MELCHOR",Investigador(a) Nacional Nivel I
83674,"LUNA AGUIRRE, CLAUDIA MARIBEL",Candidato(a) a Investigador(a) Nacional
83675,"FLORES VALDEZ, MARIO ALBERTO",Investigador(a) Nacional Nivel II
83683,"BAUTISTA HERNANDEZ, ALEJANDRO",Investigador(a) Nacional Nivel I
83684,"GARCIA SERRANO, JESUS",Investigador(a) Nacional Nivel I
83685,"REYES VALDERRAMA, MARIA ISABEL",Investigador(a) Nacional Nivel I
83687,"RODRIGUEZ TOVAR, AIDA VERONICA",Investigador(a) Nacional Nivel I
83689,"CASAS AVILA, LEONORA",Investigador(a) Nacional Nivel I
83699,"MARTINEZ HERNANDEZ, MARIO IVAN",Investigador(a) Nacional Nivel II
83701,"CERVANTES FLORES, MARIBEL",Investigador(a) Nacional Nivel I
83708,"SALINAS SANCHEZ, DAVID OSVALDO",Investigador(a) Nacional Nivel I
83712,"VELARDE FELIX, SIXTO",Investigador(a) Nacional Nivel I
83729,"HERNANDEZ GARCIA, ERNESTINA",Investigador(a) Nacional Nivel I
83749,"DE LA PARRA ARCINIEGA, SALOME MARIBEL",Investigador(a) Nacional Nivel I
83762,"RAMIREZ VERDUZCO, LUIS FELIPE",Investigador(a) Nacional Nivel I
83808,"HEREDIA ROJAS, JOSE ANTONIO",Investigador(a) Nacional Nivel I
83837,"NIETO CAMACHO, ANTONIO",Investigador(a) Nacional Nivel I
